project_id,project_name,category_id,project_intro,area,status,create_time,update_time,create_id,update_id
15,河北唐山驴皮影雕刻表演,3,唐山皮影北方皮影第一流派，以驴皮硝制、镂刻影人，搭配冀东本土唱腔、民间器乐隔幕表演，剧目多取材历史演义、民间传说。传承人赵凤莲启动老腔数字化抢救项目，完成濒临失传皮影唱腔全量录音、影像存档，存入河北非遗数据库，项目在唐山多景区常设皮影剧场，常态化晚间演出。,河北唐山,15,2025/5/15,2025/5/15,1,1
16,徽州徽墨古法炼烟,32,徽墨以松木、桐油燃烧取烟，搭配动物胶反复捶捣、晾晒定型，是文房四宝核心非遗，古法工序繁琐成材率极低，国内现存手艺人稀缺。传承人胡墨卿为为数不多古法炼烟匠人，当地文旅拍摄专属非遗纪录片，完整记录从炼烟到制墨全流程，项目开设文房研学体验，面向书画爱好者科普古法制墨。,安徽黄山,16,2025/5/16,2025/5/16,1,1
17,苗族蜡染植物防染,31,苗蜡以天然蜂蜡画稿、蓝靛植物冷染，无化学染料，纹样承载苗族图腾、民俗故事，村寨女性世代传承。传承人王阿妹所在村寨由政府出资修建蜡染传习所，免费招收村寨适龄女孩学艺，产品做成民族服饰、布艺文创销往景区，项目是黔东南非遗扶贫重点项目。,贵州黔东南,17,2025/5/17,2025/5/17,1,1
18,泉州提线木偶制作表演,3,提线木偶木雕人偶搭配数十根操控丝线，单人即可完成全套戏曲身段，闽南节庆固定巡演剧目《大闹天宫》。传承人洪少春兼具雕刻与唱腔技艺，端午开启闽南三市沿街巡演，单场可吸引上千市民围观，泉州多所幼儿园开设木偶体验课。,福建泉州,18,2025/5/18,2025/5/18,1,1
19,陕西凤翔木版年画,49,梨木手工刻板、矿物颜料多色套印，门神、吉祥年画是主力产品，春节年货刚需非遗。传承人李全喜每年提前三个月开工制版，全年计划印制三十万张年画，订单覆盖全国文旅景区，项目开发年画书签、挂画文创产品。,陕西宝鸡,19,2025/5/19,2025/5/19,1,1
20,云南个旧手工锡器锻打,30,个旧锡矿资源支撑千年锡艺，高温锻打、手工錾刻山水花鸟纹样，锡壶、酒具兼具实用与收藏。传承人寸建军门店入驻大理古城，现场錾刻体验成为景区热门项目，滇南文旅扶持锡艺非遗市场化落地。,云南个旧,20,2025/5/20,2025/5/20,1,1
21,鲁西南鲁锦土布纺织,35,老式木机手工纺纱织布，天然草木染色，布料厚实透气，传统农家刚需面料。传承人张秀莲携带老式织布机走进乡镇小学开展科普课堂，鲁锦面料改良后对接国内服饰品牌做文创家居布料。,山东菏泽,21,2025/5/21,2025/5/21,1,1
22,天津泥人张彩塑,28,第六代传人张宝林，黏土塑形、矿物彩绘，戏曲人物泥塑代表作被天津博物馆永久收藏；天津非遗馆联合开设少儿公益彩塑课堂，暑期分 6 期开班，每期限额 50 名学员。,天津南开,22,2025/5/22,2025/5/22,1,1
23,龙泉青瓷龙窑柴烧,24,叶长青耗时两年复原宋代古法龙窑，松木柴烧还原粉青、梅子青经典釉色，仿古青瓷复刻宋元官窑水准；项目落地龙泉青瓷文化园，龙窑开窑仪式成为当地文旅固定节庆活动。,浙江龙泉,23,2025/5/23,2025/5/23,1,1
24,安溪铁观音手工摇青,25,手工日光萎凋 + 反复摇青是铁观音核心古法，陈清发技艺申报省级非遗，当地茶协协助整理申报资料、技艺影像采集，安溪茶科所特聘其担任制茶讲师。,福建安溪,24,2025/5/24,2025/5/24,1,1
25,川剧变脸脸谱制作,2,独门机关脸谱 + 变脸舞台表演，周明山带队全国 20 城巡演，变脸、吐火为每场压轴，川剧非遗破圈走向全国文旅市场，脸谱文创同步开发上市。,四川成都,25,2025/5/25,2025/5/25,1,1
26,陕北剪纸窗花,27,北方粗犷剪纸，年节窗花刚需，刘巧花联合文创公司把纹样做成帆布包、书签，拓宽非遗增收路径，陕北乡村依托剪纸发展文创产业。,陕西榆林,26,2025/5/26,2025/5/26,1,1
27,白族扎板蓝根染,31,布料捆扎 + 板蓝根天然染色，段金花工坊获批州级研学基地，全年接待全国研学团队，扎染 DIY 体验成为大理古城王牌文旅项目。,云南大理,27,2025/5/27,2025/5/27,1,1
28,霍山石斛古法炮制,15,鲜石斛炭火烘焙、手工卷曲成枫斗，郑老山产品标准化后入驻全省连锁中药馆，大别山道地药材非遗产业化落地。,安徽六安,28,2025/5/28,2025/5/28,1,1
29,蒙医传统正骨,21,游牧民族徒手骨伤复位 + 马奶药酒外敷，那日苏每月牧区免费义诊，同步收集失传民间正骨偏方建立偏方档案库。,内蒙古通辽,29,2025/5/29,2025/5/29,1,1
30,湘西苗药外敷,19,石老三深耕山区采药三十余年，湘西非遗中心联合开展野生草药普查，收录 300 余种本土草药，搭建苗药资源数据库。,湖南湘西,30,2025/5/30,2025/5/30,1,1
31,广东佛山南狮扎作,10,竹篾骨架、多层裱布彩绘狮头，黄锦洪技艺编入广东中小学校本教材，进校开设迷你狮头手工课，粤港澳醒狮赛事常驻裁判。,广东佛山,31,2025/6/1,2025/6/1,1,1
32,东北大秧歌,9,王桂芝秧歌队赴全国民俗大赛斩获金奖，东北村镇节庆常态化表演，社区免费秧歌班落地沈阳多地街道。,辽宁沈阳,32,2025/6/2,2025/6/2,1,1
33,藏族锅庄舞,12,卓玛在拉萨 12 个社区开设晚间免费锅庄课堂，篝火圈舞成为藏区居民日常文娱，拉萨文旅重点扶持全民非遗项目。,西藏拉萨,33,2025/6/3,2025/6/3,1,1
34,傣族孔雀舞,14,玉喃罕为泼水节主舞台首席表演者，仿生孔雀舞蹈是傣历新年标配展演，西双版纳景区常态化日常孔雀舞表演。,云南西双版纳,34,2025/6/4,2025/6/4,1,1
35,湘西傩面雕刻,11,吴大山桃木傩面新作亮相湘西非遗展，配套傩舞现场展演，还原上古巫傩祭祀仪式场景，傩戏班长期合作定制面具。,湖南怀化,35,2025/6/5,2025/6/5,1,1
36,江格尔史诗说唱,7,巴图马头琴伴奏说唱江格尔，那达慕大会固定非遗节目，新疆文旅完成史诗分段影像存档、文字整理。,新疆巴音郭楞,36,2025/6/6,2025/6/6,1,1
37,玛纳斯史诗传唱,7,阿依古丽全本玛纳斯高清录制入库新疆非遗数字博物馆，世界级柯尔克孜史诗数字化保护落地。,新疆克孜勒苏,37,2025/6/7,2025/6/7,1,1
38,北京景泰蓝掐丝,50,闫卫国走进清华北大开设珐琅选修课，铜胎掐丝实操教学，宫廷工艺走进高校美育体系，多款复刻藏品入藏国博。,北京朝阳,38,2025/6/8,2025/6/8,1,1
39,青神精细竹编,26,周竹青超细竹丝茶具热销长三角茶空间，竹编从农用器具升级高端文创，青神竹编非遗工坊规模化生产。,四川青神,39,2025/6/9,2025/6/9,1,1
40,湖笔古法制作,33,沈笔农全流程制笔影像完成官方存档，从择毫到装杆全工序记录，湖州文房非遗资料库完善。,浙江湖州,40,2025/6/10,2025/6/10,1,1
41,泾县古法宣纸,34,曹顺安每年春季举办宣纸开工祭祀仪式，书画名家到场观摩，古法宣纸专供全国书画院、博物馆用纸。,安徽泾县,41,2025/6/11,2025/6/11,1,1
42,山东梆子唱腔,2,刘长顺带领民间剧团新编历史大戏，济南各社区公益巡演，盘活北方梆子戏曲活态传承。,山东济南,42,2025/6/12,2025/6/12,1,1
43,秦腔脸谱手绘,2,马喜成脸谱文创书签、摆件热销陕西文旅市场，秦腔脸谱成为西安城市文创标志性 IP。,陕西西安,43,2025/6/13,2025/6/13,1,1
44,黄梅戏天仙配,2,陈桂英剧团走进皖西南 20 所中小学，《天仙配》现场演唱普及黄梅乡土戏曲文化。,安徽安庆,44,2025/6/14,2025/6/14,1,1
45,端午龙舟木作,37,林水生整木打造十艘竞赛龙舟，端午前试水珠江，珠三角各大龙舟赛事指定手工龙舟匠人。,广东东莞,45,2025/6/15,2025/6/15,1,1
46,苏式酥皮月饼,38,苏桂珍酥皮工艺入选苏州市级非遗，江南老字号糕点全线沿用古法配方生产中秋月饼。,江苏苏州,46,2025/6/16,2025/6/16,1,1
47,江南青团制作,38,郑春兰艾草青团工艺进商超体验，江南寒食点心非遗走向城市大众消费市场。,浙江杭州,47,2025/6/17,2025/6/17,1,1
48,畲族痧症医药,20,蓝秀凤山区义诊周收集畲族民间偏方，整理归档畲医药方，助力东南少数民族医药保护。,福建宁德,48,2025/6/18,2025/6/18,1,1
49,洛阳唐三彩烧制,24,郭福来仿古三彩进驻河南博物院临展，现场低温釉烧科普，唐三彩仿古作品市场化收藏。,河南洛阳,49,2025/6/19,2025/6/19,1,1
50,黎族树皮布,48,黎小花在五指山景区开设树皮布体验工坊，游客亲手捶打树皮制衣，展示人类早期纺织活化石技艺。,海南五指山,50,2025/6/20,2025/6/20,1,1
51,荣昌夏布织造,36,吴守业研发棉麻混纺夏布面料，对接国内服装品牌，传统夏布改良适配现代服饰需求。,重庆荣昌,51,2025/6/21,2025/6/21,1,1
52,东阿古法阿胶,39,赵守义熬胶工艺入选山东养生非遗，阿胶博览馆对外开放参观，科普古法驴皮熬制全流程。,山东东阿,52,2025/6/22,2025/6/22,1,1
53,畲族凤凰装刺绣,40,雷凤仙承接多地畲族婚嫁礼服定制，凤凰纹样手工刺绣保留畲族图腾非遗本色。,福建福安,53,2025/6/23,2025/6/23,1,1
54,藏香制作,41,藏香草药配比源自古藏医典籍，产品专供藏区寺院祭祀，拉萨非遗馆常设藏香制作体验。,西藏拉萨,54,2025/6/24,2025/6/24,1,1
55,平遥推光漆器,29,手掌推光大漆工艺，晋商古典家具御用工艺，平遥古城漆器门店成为文旅标配业态。,山西平遥,55,2025/6/25,2025/6/25,1,1
