category_id,category_name,category_desc,create_time,update_time,create_id,update_id
11,祭祀傩舞,上古巫傩传承面具祭祀舞蹈，【详情】祭祀傩舞源自上古时期驱邪逐疫、祈福纳吉的巫傩文化，是华夏原始舞蹈的活态遗存。傩舞的核心特征是佩戴手工雕刻的木质傩面，傩面造型包括傩公、傩母、开山、二郎神、钟馗等，或威严、或狰狞、或诙谐，每张面具都被视为神灵的化身。舞蹈时配合铜鼓、牛角号、锣镲等原始乐器的节奏，舞者跳跃旋转，动作粗犷有力，具有强烈的宗教祭祀色彩。古时傩舞多在村寨年关、疫病流行时举行，用于驱瘟扫邪、祈求宗族平安。江西萍乡、湖南湘西、安徽贵池、贵州黔东南等地至今保留着完整的活态传承，每年正月或秋收后，各村寨仍会举行 “跳傩” 仪式。如今，祭祀傩舞已从山林村寨走向城市舞台，在非遗展演、民俗庙会、文化博览会中频频亮相。表演者头戴傩面、身披彩衣，伴随着古朴的唱腔与鼓点起舞，向观众展示上古先民对天地的敬畏与对平安的渴求。傩面的雕刻工艺、祭祀仪轨的完整保存以及舞步的世代口传，使其成为中国原始舞蹈文化的活化石，也是研究古代宗教信仰与民俗生活的重要窗口。,2026/1/7 14:08,2026/1/13 14:52,1,1
12,少数民族圈舞,藏族锅庄等围圈集体民俗舞蹈，【详情】少数民族圈舞是以藏族锅庄舞为核心代表的围成圆圈、载歌载舞的集体民俗舞蹈形式。锅庄舞藏语称为 “果卓”，意为圆圈歌舞，多在夜晚举行，民众围绕篝火自发拉手成圈，跟随领舞者边唱边跳，舞步以 “三步一撩”“翻身辗转” 为基础，男女老少均可参与，气氛热烈欢快。锅庄舞贯穿藏族人一生的重要时刻：婚嫁、藏历新年、丰收节庆、宗教法会，甚至平日里邻里聚会，只要音乐响起，便能自发围圈起舞。同一类的圈舞还见于羌族、彝族、普米族等少数民族中，舞步与唱腔各有特色，但都遵循 “围圈、踏歌、自娱” 的核心模式。圈舞没有固定舞台、不要求专业训练，随性而起、尽兴而止，依靠民间代代自发传承，是最贴近群众日常生活的舞蹈形式。它既是少数民族社交娱乐的方式，也是维系族群情感、传递文化记忆的重要载体。如今，锅庄舞已走出藏区，进入成都、拉萨、西宁等城市的社区广场，每晚都有数百名市民围圈起舞，成为城市夜间文化的一道亮丽风景。,2026/1/7 14:19,2026/1/14 15:06,1,1
13,苗族芦笙舞,芦笙器乐伴奏特色民族舞蹈，【摘要】苗族芦笙舞是苗族最具代表性的非物质文化遗产舞蹈，以舞者手持芦笙、边吹奏边舞蹈为最大特色。芦笙是一种多管簧管乐器，由长短不一的竹管插入木制笙斗制成，音色浑厚悠扬。舞者一边吹奏芦笙曲调，一边依照旋律节奏做出踢腿、转体、蹲跳、倒立等舞步，吹奏与舞蹈必须高度协调，极考验体力与技巧。芦笙舞广泛用于苗族的祭祖大典、丧葬仪式、青年男女婚恋交友以及苗年、吃新节等民族节日盛会。舞步形式多样，从单人独舞展示个人技巧，到双人对舞比拼耐力与协调性，再到上百人集体合舞彰显族群团结，应有尽有。云贵高原的雷山、台江、榕江等苗族聚居区是芦笙舞的核心流传地带，几乎每个苗族村寨都有自己的芦笙手和芦笙队。芦笙曲调与舞步并非固定不变，不同村寨、不同节庆场合各有专属套路，由父传子、师带徒代代口传身授。芦笙舞不仅是苗族人民的精神寄托，也是识别苗族支系、传承族源历史的重要文化符号。2006 年，苗族芦笙舞被列入国家级非物质文化遗产名录。,2026/1/8 15:44,2026/1/15 11:29,1,1
14,傣族仿生孔雀舞,模仿孔雀体态特色民族舞蹈，【详情】傣族仿生孔雀舞是云南西双版纳、德宏等地傣族的标志性非物质文化遗产舞蹈。该舞蹈动作全部仿生自孔雀的日常体态，包括漫步、抖翅、梳羽、晒翅、喝水、开屏、飞翔等，舞者通过柔软的手指、灵动的眼神、优美的腰肢与轻盈的步伐，将孔雀的高贵、优雅、圣洁表现得惟妙惟肖。传统孔雀舞对服饰要求极高，舞者身着仿孔雀羽毛的长裙，头戴金冠，指尖佩戴长长的金属指套以模拟孔雀爪形。古时孔雀舞多在傣族王室庆典、佛教法会中表演，由宫廷舞姬或寺庙舞者专习，普通百姓难得一见。傣历泼水节（也称傣历新年）成为孔雀舞固定的公开演出节点，每逢此时，万人广场上必有孔雀舞领衔表演，成为节庆的高潮。如今，孔雀舞已从宫廷走向民间，走进景区、校园、文化馆常态化传承。不少傣家女孩从小就被挑选学习孔雀舞基本手势与步伐，作为民族文化认同的重要部分。杨丽萍等舞蹈家将孔雀舞改编后搬上国内外舞台，使其成为世界认识中国傣族文化的一张名片。孔雀舞不仅是一种舞蹈艺术，更承载着傣族人民对美好、圣洁与和平的向往。,2026/1/8 15:51,2026/1/16 8:17,1,1
15,中医中药炮制,中药材古法净选炮制加工技艺，【详情】中药炮制是中医药体系中的核心非物质文化遗产，也是中药从原药材到临床用药之间必不可少的加工环节。炮制包含净选、切制、炒制、煅制、蒸制、煮制、醋炙、酒炙、蜜炙、盐炙等数十种古法工艺。净制是去除泥沙、杂质及非药用部位；切制是将药材切成片、段、丝、块，便于煎煮出有效成分；炒制则是用文火或武火在铁锅中翻炒，改变药性，如白术土炒增强健脾功效；煅制将矿石类药物高温烧红后淬入醋中，使其质地酥脆便于粉碎；醋炙可引药入肝、增强止痛效果；酒炙则增强活血通络之力。通过炮制，可以降低或消除药材的毒性、烈性或副作用，如附子经过胆巴水浸泡、长时间蒸煮后才能安全内服；同时也能增强药效、改变性味归经以适应不同病症。北京同仁堂、杭州胡庆余堂等老字号药铺至今仍传承着宫廷古法炮制配方，丸、散、膏、丹等传统剂型全部依靠古法熬炼制作，拒绝现代化学提取。中药炮制技艺传承两千余年，是历代药工经验的结晶，也是中医 “辨证施治、随症加减” 得以实现的物质保障。2014 年，中药炮制技艺入选国家级非物质文化遗产代表性项目。,2026/1/9 8:30,2026/1/17 12:41,1,1
16,中医针灸医术,经络穴位针刺艾灸传统诊疗，【详情】中医针灸医术是依托中医经络理论发展起来的传统诊疗方法，包括针刺与艾灸两大部分。针刺疗法使用极细的银针或不锈钢针，刺入人体特定穴位，通过提插、捻转等手法调节气血运行、疏通经络、平衡阴阳。艾灸疗法则是将干燥艾叶捣绒制成艾柱或艾条，点燃后在穴位上方熏烤，借助热力与药性温通经脉、散寒止痛。针灸适用于内科杂病、骨伤疼痛、面瘫、中风后遗症、妇科疾病、失眠等多种病症，具有起效快、副作用小、操作简便等优点。历代医家不断总结完善穴位图谱，形成手三阴、足三阳等十四经脉及三百多个穴位的完整系统。民间大量家族世代传承针灸行医手艺，许多乡村针灸师以一根银针、一盒艾条行医数十年，成为基层医疗服务的重要补充。2010 年，中医针灸入选联合国教科文组织人类非物质文化遗产代表作名录，标志着其全球影响力。如今，中医针灸已传播至全球 190 多个国家和地区，每年有数千万人次接受针灸治疗。但与此同时，如何规范传承、防止过度商业化及伪针灸乱象，也成为针灸非遗保护面临的新课题。,2026/1/9 8:42,2026/1/18 13:50,1,1
17,中医正骨推拿,徒手骨伤复位经络理疗技艺，【详情】中医正骨推拿是以徒手方式复位跌打损伤、骨关节错位、脱臼等骨伤科疾病的传统诊疗技艺，一般不依赖手术切开，全凭医者双手的触诊、牵引、按压、端提等手法将骨骼复位，再配合夹板或绷带固定。正骨完成后，通常辅以推拿按摩，沿经络循行方向施以揉、按、滚、捏、拿等手法，以疏通气血、消除肿胀、松解粘连。正骨推拿技艺大多为家族秘传，讲究 “手摸心会”，即医者凭手感判断骨折类型与错位方向，然后以巧劲一次性复位，强调 “轻、稳、准、快”。该技艺广泛扎根于城乡基层，针对日常磕碰、运动损伤、慢性劳损、关节紊乱、老年性骨关节病等，提供了安全、经济、有效的保守治疗方案。与西医骨科手术相比，正骨推拿免去了开刀之苦和昂贵的内固定材料，是民间刚需的传统医术。河南洛阳平乐正骨、北京罗氏正骨、佛山蔡李佛拳跌打正骨等流派各有特色，传承百余年。近年来，随着中医药振兴政策的扶持，许多正骨推拿传人获得非遗认定，并走进医院中医科、社区卫生服务中心，与现代康复医学相结合。然而，正骨推拿对手法技术要求极高，一旦误诊或操作不当可能加重损伤，因此学员培养周期长、门槛高，后继乏人是当前最大的传承瓶颈。,2026/1/10 9:26,2026/1/19 16:11,1,1
18,藏医药,青藏高原本土民族医药体系，【详情】藏医药是青藏高原上千年形成的完整民族医药体系，融合了藏族苯教医学、印度医学、中医学及阿拉伯医学的精华。藏医药理论认为人体由隆、赤巴、培根三种因素维持平衡，疾病源于三者失调。其诊疗手段包括望诊（尤其重视尿诊）、触诊（切脉）、问诊等。藏药取材全部来自青藏高原特有的高寒生态环境，包括冬虫夏草、红景天、雪莲、藏红花、绿绒蒿等高原草本，以及矿物类（如朱砂、寒水石、金礞石）、动物类（如麝香、熊胆、牦牛角）等原料。藏药炮制工艺极为繁复，如 “坐台” 水银洗炼法需数十道工序去除水银毒性并增强药效，是藏药的核心绝技。藏医问诊强调人与自然和谐，注重季节、气候与患者体质的匹配。药浴疗法是藏医的特色外治法，以五味甘露为主药，煎汤浸泡全身，治疗风湿、类风湿、皮肤病等顽疾。藏区民间藏医常年深入牧区骑马巡回行医，随身携带药囊，为偏远帐篷牧民的常见病、骨伤病提供免费或低价诊疗。西藏藏医学院、青海藏医药研究所等机构已将藏医药纳入正规教育体系，并推动藏药产业化生产。藏医药于 2018 年入选联合国教科文组织人类非物质文化遗产代表作名录，成为世界公认的传统医学瑰宝。,2026/1/10 9:37,2026/1/20 9:02,1,1
19,苗医药,云贵山区原生态少数民族医药，【详情】苗医药是云贵高原苗族人民在长期深山劳作与生活中积累形成的原生态民族医药体系。苗医理论强调 “两病两纲”—— 冷病与热病、酸与碱的平衡，诊断方法包括看指甲、观眼睛、摸脉、问疼痛等，简洁实用。苗药全部取材于武陵山脉、苗岭山脉的深山野生草药，常见药物有何首乌、三七、淫羊藿、八角枫、金荞麦、透骨香等。苗医崇尚鲜药捣烂外敷，将新鲜草药洗净、捣碎成泥，直接敷于跌打损伤、疮疡肿毒处，药力直达病灶；内服则以草药煎汤为主，一剂不过三五味药，强调 “简、便、验、廉”。苗医药没有复杂的炮制器械，全凭苗人进山识药的眼力与采摘经验，药方多为祖辈口传，不立文字，每味药的采集季节、部位选择、配伍禁忌全在脑中。专治跌打损伤、风湿痹痛、皮肤湿疹、毒蛇咬伤等山区常见病，是西南山区民间基础医疗的最主要提供者。湘西、黔东南等地建有苗药资源普查基地与苗医院，部分苗药已纳入国家药品标准。但苗医药面临老苗医年事已高、年轻一代不愿进山识药的困境，口传药方的数字化抢救与标准化研究是当前保护的重点。,2026/1/11 10:54,2026/1/21 10:47,1,1
20,畲族医药,东南山区畲族传统草药医术，【详情】畲族医药是流行于福建、浙江、江西等东南山区畲族聚居地的传统民族医药体系。畲医理论较为朴素，没有复杂的阴阳五行框架，更注重实践与经验积累。诊疗特色包括：草药食疗，将草药与猪脚、老母鸡、糯米等同煮，寓医于食；刮痧治痧，用铜钱、瓷勺蘸油在后背、颈部刮出暗红色痧点，以治疗中暑、风寒、食积等 “痧症”；外敷草药，将鲜草药捣烂敷于跌打损伤、蛇虫咬伤处，迅速消肿止痛。畲医熟知村寨周边山区的本土草药习性，如白毛藤、土茯苓、积雪草、鱼腥草、半边莲等，大多随采随用，不储存成品药。畲医一般不行医出村，主要在村落内部行医，不挂牌、不收诊费，患者以实物或红包表达感谢。偏方依托畲族世代生活经验积累而成，部分验方如 “痧药”“蛇药” 疗效确切，已被现代医学研究关注。福建福安、浙江景宁等地建有畲医药研究所，将畲药开发为保健茶、外敷贴等产品。但由于畲族没有本民族文字，所有医药知识全靠畲语口传，随着老畲医逐年减少，畲族医药面临迅速失传的风险。目前，非遗保护机构正在开展畲医畲药的数字化录音、录像及验方整理工作。,2026/1/11 11:03,2026/1/22 14:33,1,1
21,蒙医药,北方草原游牧民族特色医药，【详情】蒙医药是蒙古族在北方草原游牧生活中发展形成的特色民族医药体系，充分适应了寒冷、干旱、多风沙的自然环境以及游牧、征战、畜牧等生活方式。蒙医理论以 “赫依、协日、巴达干” 三根学说为核心，与藏医药理论相近但更具游牧特色。蒙药常用药物包括草原野生植物（如麻黄、甘草、黄芪、肉苁蓉）、动物脏器（如羊胃、牛黄、驴血、旱獭油）以及矿物类（如芒硝、磁石、石决明）。蒙医正骨是蒙医药最具代表性的技艺，对骨折、脱臼采用手法复位、沙袋固定、马奶酒喷洒等特色疗法，不开刀、不牵引，愈合快且功能恢复好。放血疗法是蒙医的另一特色，用特制放血针刺破浅表静脉，放出少量瘀血，以治疗头痛、高血压、血热等症。马奶入药疗法则是草原独有，将新鲜马奶发酵后内服或外用，用于调理肠胃、补充营养、辅助治疗肺病。牧区蒙医常年跟随游牧部落巡回义诊，骑马背药箱穿梭于各季草场之间，为牧民治疗跌打损伤、风湿性关节炎、冻伤、消化不良等常见病。内蒙古通辽、赤峰等地设有蒙医医院和蒙医药学院，推动蒙医药标准化、产业化发展。但深入牧区的流动诊疗服务由于游牧生活方式减少而大幅萎缩，如何留住流动的蒙医是保护难点。,2026/1/12 12:16,2026/1/23 15:28,1,1
22,东阳木雕工艺,实木浮雕透雕古建筑雕刻手艺，【详情】东阳木雕是国内三大木雕之首，以浙江东阳为核心传承地，距今已有一千余年历史。东阳木雕选用红木、樟木、楠木、椴木等优质实木，木材需经过充分干燥处理以防开裂变形。雕刻技法包括浅浮雕（表面雕刻薄层图案）、深浮雕（图案高起、层次丰富）、透雕（雕穿木板形成镂空效果）、圆雕（四面雕刻独立立体造型）以及镂空雕、贴片雕等多种手法。题材涵盖历史故事、戏曲人物、花鸟鱼虫、祥禽瑞兽、山水楼阁等，图案繁密饱满，层次分明，刀法圆润流畅，具有 “平面装饰、满花雕刻” 的典型风格。东阳木雕古代大量用于宫廷、官邸、寺庙、祠堂的建筑装饰，包括梁枋、牛腿、雀替、门窗、挂落等构件，也广泛用于红木家具、屏风、宫灯、摆件的制作。现存大批东阳木雕非遗匠人专注古建修复工作，承接全国各地的明清古民居、祠堂、戏台的木雕复原项目。匠人们严格按照 “修旧如旧” 原则，依据残存纹样复刻图纸，全程手工雕刻，不用电动工具。东阳木雕于 2006 年入选第一批国家级非物质文化遗产名录，目前当地已建立木雕技校、大师工作室、古建修复基地，形成从学徒培养到工程承接的完整产业链。,2026/1/12 12:27,2026/1/24 11:19,1,1
23,苏湘粤蜀刺绣,四大名绣经典手工刺绣技艺，【详情】苏绣、湘绣、粤绣、蜀绣并称为中国四大名绣，各有鲜明风格。苏绣产自苏州，以精细雅洁著称，针法多达四十余种，尤以 “劈丝” 绝技见长 —— 将一根蚕丝线劈成 1/16 甚至 1/32 的细丝，绣出猫眼、金鱼尾等极细微处，代表作有《双面绣猫》。湘绣产自湖南长沙，以粗犷写实为特色，独创 “鬅毛针” 绣制狮虎毛发，毛发根根直立、层次蓬松，从不同角度观看虎眼会随人转动。粤绣产自广东潮州、广州，富丽浓烈，喜用金银线盘绕钉绣，大量镶嵌珠玉、贝壳、孔雀羽，常用于戏服、神袍、寺庙幡帐，视觉冲击力极强。蜀绣产自四川成都，针法多变、严谨平齐，擅长绣制鲤鱼、芙蓉、熊猫等本土题材，以 “晕针” 表现色彩渐变，细腻柔和。除四大名绣外，还有苗绣、瓯绣、羌绣、顾绣、京绣等各地特色绣种。所有绣种均以蚕丝线为主要材料，在绸缎、绢、罗等底布上绣制花鸟、山水、人物、吉祥图案，多用于服饰衣边、团扇扇面、屏风摆件、婚庆喜帐等。刺绣是传统服饰文化的核心工艺之一，承载着历代女性的巧思与审美。目前，四大名绣均已列入国家级非物质文化遗产，但绣娘老龄化严重、年轻人耐不住枯燥等问题突出，文创产品开发与机器刺绣冲击是行业面临的现实挑战。,2026/1/13 13:41,2026/1/25 8:44,1,1
24,景德镇系陶瓷烧制,全工序古法陶瓷手工烧制技艺，【详情】景德镇系陶瓷烧制是涵盖采石制泥、拉坯、利坯、绘画、施釉、装窑、柴窑烧制等七十余道工序的古法手工陶瓷烧制技艺体系。核心产地位于江西景德镇，同时辐射龙泉青瓷、宜兴紫砂、汝瓷、钧瓷、石湾陶塑等不同陶瓷品类。原料采用高岭土、瓷石等天然矿物，经粉碎、淘洗、沉淀、揉练成为可塑泥料。拉坯在转盘上徒手将泥团拉成碗、盘、瓶等雏形；利坯用铁刀精细修整坯体内外表面，控制厚度均匀；绘画采用青花、釉里红、五彩、粉彩等技法在坯体上绘制图案；施釉浸蘸或吹喷釉浆，形成玻璃质保护层；最后装入柴窑，以松木为燃料，依凭经验观察火焰颜色与测温锥判断窑温，烧制数日。柴窑烧制时，釉料在高温下自然流动、窑内气氛变化，形成机器量产无法复刻的釉色层次与窑变效果，如青瓷的 “梅子青”、钧窑的 “窑变紫斑”。不同品类各有专属工艺：龙泉青瓷强调厚釉与开片；宜兴紫砂注重泥料陈腐与拍打成型；汝瓷追求天青色与蟹爪纹。景德镇系陶瓷烧制贯穿中国陶瓷史千年，是中华民族审美与技术的双重结晶。2006 年，景德镇手工制瓷技艺入选第一批国家级非物质文化遗产名录，目前仍有大批老匠人坚守古法柴窑，同时面向研学旅游开放体验。,2026/1/13 13:52,2026/1/26 12:09,1,1
25,传统绿茶红茶制茶,各类茶叶全流程手工古法制作，【详情】传统绿茶红茶制茶是指从鲜叶采摘到成品茶出厂的全流程手工操作技艺，不同茶类各有专属古法。绿茶（如龙井、碧螺春）核心工艺是 “杀青”，用铁锅高温快速翻炒或蒸青，破坏鲜叶中酶活性，保留绿色和清香；之后经过揉捻（手工搓揉使叶片卷曲成条）、干燥（炭火或烘干）而成。红茶（如祁门红茶、正山小种）则强调 “萎凋、揉捻、发酵、干燥”，鲜叶先在竹匾上自然萎凋走水，再手工揉捻破坏细胞使茶汁溢出，置于温湿环境中发酵至叶色变红、香气透出，最后烘干。乌龙茶（如铁观音、大红袍）介于绿茶与红茶之间，核心是 “做青”—— 以手工摇青使叶片边缘摩擦红变，形成 “绿叶红镶边” 与花果香。白茶（如福鼎白茶）属于微发酵茶，工艺最简但最讲究天气，鲜叶摊晾于竹匾，依靠日光自然萎凋，不炒不揉，最后文火烘焙。普洱生茶采用晒青毛茶直接蒸压成型，熟茶则增加 “渥堆发酵”—— 将晒青毛茶堆积洒水，在湿热条件下长时间发酵，形成红褐色汤色与陈香。各地茶山传承专属制茶口诀与手法，如龙井的 “抖、搭、搨、捺”、铁观音的 “看青摇青、看天摇青”。全手工制茶依赖制茶师的视、触、嗅综合判断，机器量产无法复制茶叶的层次感与活性。目前，绿茶、红茶、乌龙茶、白茶、黑茶等制茶技艺已有多个子项列入国家级非遗。,2026/1/14 14:33,2026/1/27 13:35,1,1
26,实用竹编工艺,天然竹材劈丝编织日用器皿，【详情】实用竹编工艺是以天然竹材为原料，经劈篾、刮青、分丝、编织等工序制作日用器皿、农具、装饰品的传统手工技艺。选材多采用三年左右嫩竹，以毛竹、慈竹、水竹为佳，竹节疏、纤维细。第一步是劈篾：将竹筒剖成竹片，再层层劈薄至所需厚度，最细可至 0.2 毫米以下如发丝。然后刮去竹青、修整宽度，形成光洁均匀的竹篾或竹丝。编织方法包括挑一压一、斜纹编、人字编、六角眼、绞丝编等数十种基础纹样，通过不同挑压顺序形成疏密、花色变化。产品包括竹篮（菜篮、花篮、礼品篮）、竹席（凉席、帘席）、竹扇、竹盒、竹篓、竹筛、茶具、灯具、收纳摆件等。四川青神、浙江东阳是国内两大竹编非遗产地。青神竹编以超细竹丝编织工艺品著称，可在仅半毫米宽的竹丝上编织出复杂花纹，代表作有竹编字画、竹编茶具；东阳竹编则更强调造型与编织结合，产品兼具实用性与艺术性。高端实用竹编产品还需上漆处理，以生漆或清漆涂刷表面，防霉防水，延长使用寿命。竹编原料可再生、产品可降解、编制过程零污染，是典型的绿色手工艺。近年来，竹编茶具、竹编灯具等生活化文创产品走俏市场，带动山区竹农增收。但竹编学习周期长（从劈篾到熟练编织需三至五年），年轻人不愿从事，后继乏人是主要困境。,2026/1/14 14:45,2026/1/28 16:42,1,1
27,南北剪纸艺术,红纸镂空雕刻民俗手作，【详情】南北剪纸艺术是以红纸、彩纸为原料，通过剪刀剪或刻刀镂刻，形成镂空图案的民俗手工艺。北方剪纸以陕西、河北、山东、山西为代表，线条粗犷厚重，构图丰满，风格质朴豪放，题材多为窗花、炕围花、顶棚花、门笺等，多用于年节贴窗、婚庆喜事，寓意吉祥。北方剪纸常用大剪刀直接剪，不画稿、不打样，全凭心手相应，一刀到底。代表性流派有陕北剪纸（粗犷有力）、河北蔚县剪纸（套色点染）、山东高密剪纸（细腻中带粗犷）。南方剪纸以浙江、广东、福建为代表，线条细腻繁复，擅长花鸟鱼虫、文人书画、戏曲人物等题材，风格清秀婉约。南方剪纸多用刻刀在蜡盘上精雕细刻，刀法丰富，可刻出比头发丝还细的线条。代表性流派有浙江乐清细纹刻纸（最细可刻出每厘米三十余根线条）、广东潮汕剪纸（衬色、套色技艺）、福建柘荣剪纸（以窗花闻名）。剪纸除传统贴窗功能外，已衍生出书签、贺卡、灯笼、摆件、服饰图案、装饰画、文创礼盒等众多市场化产品。逢年过节、婚嫁喜事、祝寿满月、新居落成，剪纸仍然是最具仪式感的民俗装饰。2006 年，剪纸被列入第一批国家级非物质文化遗产名录；2009 年，中国剪纸入选联合国教科文组织人类非物质文化遗产代表作名录。,2026/1/15 15:18,2026/1/29 9:26,1,1
