inheritor_id,name,project_id,years,intro,status,create_time,update_time,create_id,update_id
11,马桂兰,11,54,马桂兰，江苏扬州漆器省级传承人，从业 54 年，毕生深耕螺钿嵌贝髹漆工艺。她以刀代笔，将夜光贝、云母片精细裁切，镶嵌于层层髹漆之上，光色流转间尽显华贵。受故宫博物院委托，她曾独立复刻一件清代宫廷小型螺钿陈设，从选料、制胎、髹漆到嵌贝、打磨，历经 8 个月昼夜不辍最终完美收官，作品正式入藏故宫博物院。为让古老技艺触达更多人群，马桂兰常年驻守扬州非遗工坊，亲自开设漆器体验课程，手把手教授市民与游客点螺、贴贝等工艺环节，让传统髹漆嵌贝技艺在现代生活中重焕生机。,1,2026/6/7 17:02,2026/6/7 17:32,1,1
12,葛金水,12,42,葛金水，浙江东阳国家级木雕传承人，从业 42 年，专攻古建筑木雕修复，是业内公认的 “雕花修复圣手”。他带领一支 12 人的匠人团队，长年辗转于浙江各地古建修复现场。在浙江衢州一处明清古民居的修缮工程中，面对虫蛀、腐朽殆尽的门窗梁柱，葛金水依据残存纹样复刻图纸，全手工操刀精雕细凿，令仕女、缠枝等构件原样重生。修复之余，他每年招收木雕学徒，坚持传统 “师带徒” 模式，从选材、打坯、修光到开脸，倾囊相授，为古建行业定向输送了一大批能独立上手的青年匠人。,1,2026/6/7 17:02,2026/6/7 17:32,1,1
13,林福生,13,37,林福生，福建福鼎白茶古法萎凋第三代传承人，从业 37 年，世代守护高山古树茶园。他完整保留了日光萎凋、炭焙干燥等传统工艺，坚持不炒不揉、自然天成。每年春季，林福生都会在自家茶山举办盛大的开园采茶节，亲自带领游客与茶商攀上陡峭的古茶树区，现场演示茶叶采摘、竹匾摊晾、日光萎凋全过程。他对接各地茶商与茶文化研学团队，让参与者亲眼见证一片鲜叶如何在日晒与微风作用下转化为毫香蜜韵的顶级白茶，有力推动了福鼎白茶传统技艺的活态传承。,1,2026/6/7 17:02,2026/6/7 17:32,1,1
14,顾景明,14,41,顾景明，江苏宜兴紫砂市级传承人，从业 41 年，主攻明清仿古手拉壶，对老壶形制、泥料配比及窑烧气氛有独到心得。他将自家祖传老宅改造为沉浸式研学基地，打破传统作坊封闭格局，设置练泥、拍打、手拉、装饰、烧制等全流程体验区。全国游客通过线上预约，即可在匠人指导下亲手完成一把属于自己的紫砂壶。由于体验真实、互动性强，这里迅速成为宜兴网红非遗打卡点，每年吸引数千人次到访，让昔日沉闷的制壶手艺变成可触摸、可带走的文化记忆。,1,2026/6/7 17:02,2026/6/7 17:32,1,1
15,赵凤莲,15,38,赵凤莲，河北唐山皮影匠人，从业 38 年，五十余年如一日钻研驴皮雕刻与冀东老腔唱腔。她的刀工细腻流畅，雕出的影人关节灵活、眉眼传神；她的唱腔苍劲古朴，保留了冀东老调特有的苍凉韵味。面对皮影老艺人逐年减少、传统剧目失传的困境，赵凤莲主动牵头皮影老腔数字化抢救项目，挨村走访年迈艺人，逐一录音、记谱、整理唱词，最终将全套老腔唱段及伴奏谱录入河北非遗数据库，为后人留住了一部珍贵的声音史诗。,1,2026/6/7 17:02,2026/6/7 17:32,1,1
16,胡墨卿,16,44,胡墨卿，安徽黄山徽墨匠人，从业 44 年，是国内现存极少数仍坚持古法炼烟制墨的手艺人。他严守 “桐油炼烟、手工杵捣、千锤百炼” 的古训，从选桐油、点烟、收集烟灰，到拌胶、入模、压型、阴干、描金，每一道工序全凭手感与经验。当地文旅部门专门为他拍摄专题纪录片，完整记录他四季制墨的每个环节 —— 从秋夜炼烟的幽蓝火光，到冬日阴干墨锭的静谧工坊。胡墨卿所制徽墨 “拈来轻、磨来清、嗅来馨”，成为书画家与文房爱好者的珍品。,1,2026/6/7 17:02,2026/6/7 17:32,1,1
17,王阿妹,17,32,王阿妹，贵州凯里苗族村寨本土匠人，从业 32 年，坚守苗蜡染技艺。她从小跟随祖母学习绘蜡、浸染、脱蜡全套工艺，图案多为蝴蝶妈妈、龙、凤等苗族古老图腾。政府出资在村寨修建传习所后，王阿妹主动放弃外出务工机会，常年免费教村寨少女从画蜡针、熔蜡、点蜡到蓝靛发酵、浸染、去蜡的全套技艺。她不收分文学费，只要求学员学成后能将蜡染手艺继续传给下一代，使这片深山的蓝白之花不至失传。,1,2026/6/7 17:02,2026/6/7 17:32,1,1
18,洪少春,18,47,洪少春，福建泉州木偶双料匠人，从业 47 年，既精通提线木偶的雕刻制作，又擅长木偶戏的唱腔与操纵表演。他刻的木偶头比例精准、开脸传神，二十多根提线在指尖调度如神。每年端午节，洪少春都会带领团队在闽南三市沿街巡演经典剧目《大闹天宫》，孙悟空七十二变、腾云驾雾等桥段行云流水，每场吸引上千名观众驻足叫好。他以一人之力打通了木偶制作、唱腔设计、舞台表演的全链条，成为泉州木偶戏活态传承的一面旗帜。,1,2026/6/7 17:02,2026/6/7 17:32,1,1
19,李全喜,19,30,李全喜，陕西凤翔木版年画匠人，从业 30 年，刻制梨木版已有四十余年的功力。他擅长门神、灶王、吉祥娃娃等传统题材，线条粗犷有力，设色大红大绿，充满关中年俗气息。每年腊月之前，李全喜都会带领全家赶印年画，从刻版、调色、套印到晾干，纯手工完成，年产量高达三十万张，订单覆盖全国各大景区及年货采购市场。他既坚守古版原味，又不断开发生肖纪念画等新品，让凤翔年画从农家院门走向全国景区的文创货架。,1,2026/6/7 17:02,2026/6/7 17:33,1,1
20,寸建军,20,36,寸建军，云南个旧锡艺传承人，祖传三代锻打手艺，从业 36 年。他精通从熔锡、压片、打坯到焊接、錾刻、抛光全流程，尤其擅长在锡壶、茶罐表面錾刻花鸟、山水、东巴文字等精细纹样。在大理古城，寸建军开设了一家前店后厂的锡器体验门店，游客不仅可选购成品，还能亲手体验剪料、锻打、錾刻，在匠人指导下完成一件属于自己的锡器。叮叮当当的锤声成为门店独特的背景音乐，这项古老的锻锡手艺由此走出深山，成为游客可带回家的旅行记忆。,1,2026/6/7 17:02,2026/6/7 17:33,1,1
21,张秀莲,21,33,张秀莲，山东菏泽鲁锦匠人，从业 33 年，抢救性保存了十余台老式土织布机以及整套经线、刷线、掏综、织造的传统流程。她织出的鲁锦质地厚实、条纹粗犷，具有浓郁的鲁西南乡土气息。为让年轻人亲近传统纺织，张秀莲主动走进乡镇小学开设手工课，教孩子们认识棉线、学习简单织造；同时在乡村免费开设鲁锦手工学习班，吸引留守妇女学习织艺，既能在家门口挣钱，又不耽误照顾家庭。她用一梭一线的坚守，为鲁锦织出了新的传承图景。,1,2026/6/7 17:02,2026/6/7 17:33,1,1
22,张宝林,22,48,张宝林，天津泥人张第六代传人，从业 48 年，完整继承了 “塑、捏、绘” 一体的彩塑绝技。他塑造的人物神态生动，衣纹流畅，敷色雅致，作品曾多次入藏天津博物馆。为向社会普及彩塑艺术，张宝林与天津非遗馆合作，每年暑假开设公益彩塑班，免费教授儿童与青少年揉泥、捏塑、彩绘基础技法。他不计较课时费，只希望更多孩子能亲手触摸这门延续了近两百年的家族手艺。许多学员由此爱上泥塑，成为泥人张技艺新一代的潜在传承者。,1,2026/6/7 17:02,2026/6/7 17:33,1,1
23,叶长青,23,43,叶长青，浙江龙泉青瓷匠人，从业 43 年，耗时两年依照宋代窑炉遗址图纸，一砖一瓦复原了一座小型龙窑。他坚持使用松木柴烧，严格遵循梅子青釉的古法配方，每窑烧制前都要虔心祭窑。龙窑点火时，火舌从投柴孔喷出，松脂香气弥漫山谷；开窑时刻更成为龙泉文旅节庆的高潮，上千人围观青瓷出窑，期待那一抹雨过天晴的梅子青色。叶长青以一座会呼吸的古窑，复活了龙泉青瓷最原始的烧造仪式。,1,2026/6/7 17:02,2026/6/7 17:33,1,1
24,陈清发,24,39,陈清发，福建安溪制茶师傅，从业 39 年，将手工摇青技艺成功申报为省级非物质文化遗产。他做青时遵循 “看青摇青、看天摇青” 的原则，通过轻重缓急的摇动让茶叶边缘适度摩擦红变，香气层层转化。由于技艺精湛、理论扎实，陈清发被安溪茶科所特聘为专职制茶讲师，每年为数百名学员系统讲解摇青、杀青、揉捻、烘焙等传统工艺。他坚持不唯机器论，让铁观音的 “兰花香、观音韵” 继续在人的掌心与呼吸中形成。,1,2026/6/7 17:02,2026/6/7 17:33,1,1
25,周明山,25,45,周明山，成都川剧脸谱大师，从业 45 年，掌握独门的机关变脸制作技艺。他设计的脸谱可根据剧情需要，通过丝线与弹射装置实现多张脸谱瞬间切换，且线路完全隐藏在戏服与盔头中，动作再大也不会穿帮。作为全国 20 余城巡演的特邀主演，周明山的变脸绝技场场叫座。他还将脸谱图案开发成面具、摆件、手机壳等文创产品，落地成都各大文旅景点。从舞台到货架，他让川剧变脸突破了剧场边界，成为成都街头随处可见的文化符号。,1,2026/6/7 17:02,2026/6/7 17:33,1,1
26,刘巧花,26,28,刘巧花，陕北国家级剪纸艺人，从业 28 年，剪刀功夫已臻化境。她剪的花鸟鱼虫、窗花喜字，线条流畅有力，纹样繁而不乱，剪刀如笔，纸屑纷落间一幅作品即成。刘巧花常年走进中小学校园，开设公益剪纸课，从折纸、下剪、掏空到修边，用最通俗的语言教会孩子们剪出五角星、蝴蝶等简单花样。她还积极与文创公司合作，将剪纸图案印制于丝巾、灯笼、笔记本等产品上。一把剪刀，既剪出了传统年味，也剪出了现代设计的灵感。,1,2026/6/7 17:02,2026/6/7 17:33,1,1
27,段金花,27,34,段金花，云南大理白族扎染创始人之一，从业 34 年。她自筹资金建起一座集染布、缝扎、展示、教学于一体的扎染研学工坊，从板蓝根种植、建靛池发酵，到绘图、缝扎、浸染、拆线，完整复刻了白族传统扎染的全流程。该工坊已获批为州级研学基地，全年接待来自全国各地的研学团队。段金花亲自授课，让学员亲手缝扎一块方巾、浸入染缸，亲眼见证白布变成层次丰富的蓝白图案。她用一座工坊，让千年扎染不再是博物馆里的标本。,1,2026/6/7 17:02,2026/6/7 17:33,1,1
28,郑老山,28,32,郑老山，安徽霍山石斛古法枫斗制作老药工，从业 32 年。他严格遵循 “十八道工序” 古法：选三年生石斛茎条，手工翻炒杀青、搓揉去膜、卷曲加箍、烘干定型，最终制成螺旋状枫斗，最大程度保留石斛多糖与生物碱。郑老山制作的枫斗产品在全省中药馆上架，被客户誉为 “铁皮石斛中的上品”。作为大别山药材非遗推广带头人，他走村串户教药农规范采摘与炮制，带动周边上百户人家依靠仿野生石斛种植增收。他以一人之手，撑起了霍山石斛古法加工的传承大旗。,1,2026/6/7 17:02,2026/6/7 17:33,1,1
29,那日苏,29,37,那日苏，内蒙古蒙医正骨传承人，从业 37 年。他擅长以手法复位、夹板固定、蒙药外敷内服相结合的方式治疗骨折、脱臼及陈伤旧患。每月，那日苏都会背上药箱，驱车数百公里深入草原牧区，为行动不便的牧民免费骨伤义诊，不取分文。他在巡诊过程中，逐户拜访散落在草原上的老蒙医，收集整理已濒临失传的蒙医偏方、验方，系统建档。那日苏以医者仁心守护着游牧民族的骨健康，也以一己之力抢救着口口相传的蒙医遗产。,1,2026/6/7 17:02,2026/6/7 17:33,1,1
30,石老三,30,35,石老三，湘西苗医，从业 35 年，三十余年坚持徒步进山采药。他对湘西武陵山脉的草药分布了如指掌，能够准确识别上百种苗药，掌握跌打损伤、蛇咬伤、风湿痹痛等特色疗法。石老三牵头组织湘西草药资源普查，带领年轻苗医走遍深山老林，逐样采集标本、拍照记录、标注功效与用法，最终建立起包含数百种草药的苗药数据库。他守住了苗医 “药在山上、医在手中” 的传统，也让散落民间的苗药知识第一次有了系统化的科学记录。,1,2026/6/7 17:02,2026/6/7 17:33,1,1
31,黄锦洪,31,42,黄锦洪，佛山南狮扎作匠人，从业 42 年，是粤港澳地区醒狮扎作界公认的高手。他扎的狮头采用竹篾扎骨、纱纸扑面、五彩丝绒装饰，狮额饱满、狮口阔张，额头上的明镜与绒球闪耀生辉。黄锦洪总结的扎作步骤与尺寸比例被编入广东省校本教材，成为中小学劳动课的内容。由于德高望重，他常年受邀担任粤港澳醒狮赛事的裁判，从狮头工艺、扎作标准到舞狮套路进行专业评判。他用一把篾刀、一卷纱纸，为南狮扎作立下了技术标杆。,1,2026/6/7 17:02,2026/6/7 17:33,1,1
32,王桂芝,32,33,王桂芝，沈阳秧歌领队，从业 33 年，以热情奔放的指挥风格闻名东北民俗圈。她带队参加全国民俗大赛，凭借整齐划一的队形、富有感染力的扇舞和极具乡土气息的扮相多次斩获金奖。走下赛场，王桂芝常年扎根社区，免费教授周边居民扭秧歌，从基本步法、手绢花、扇子花到队列变换，她从不嫌学员年龄大、底子差。每天清晨，社区广场上锣鼓一响，几十人甚至上百人跟着她舒展腰肢、喜笑颜开。她让秧歌从舞台回到广场，成为大众触手可及的快乐。,1,2026/6/7 17:02,2026/6/7 17:33,1,1
33,卓玛,33,31,卓玛，西藏拉萨锅庄舞传承人，藏区民间舞蹈老师，从业 31 年。锅庄舞是藏族围成圆圈、自右而左、边歌边舞的集体舞蹈，卓玛深谙拉萨、那曲、山南等不同地区的锅庄步伐与唱腔差异。她在拉萨各大社区开设锅庄教学点，免费教市民从基础的 “三步一撩”“翻身辗转” 学起。每当夕阳西下，社区院子里便响起悠扬的藏歌，卓玛领舞在前，男女老少紧跟其后，长袖飞舞，靴声整齐。她用最朴素的方式，让锅庄舞从节庆场合走进了普通拉萨市民的每个傍晚。,1,2026/6/7 17:02,2026/6/7 17:33,1,1
34,玉喃罕,34,38,玉喃罕，云南西双版纳傣族孔雀舞传承人，从业 38 年，是傣历新年官方指定的首席表演艺术家。她的孔雀舞动作舒展柔美，尤其擅长模拟孔雀梳羽、晒翅、饮水、抖尾等细节，指尖与眼神灵动传神。每年傣历新年泼水节期间，玉喃罕都要在万人广场上领舞，身着仿孔雀羽衣，在象脚鼓与铓锣的节奏中翩翩起舞。她还走进傣寨，从幼童中挑选苗子传授孔雀舞基本手势与步法，让这个原本只在宫廷与寺院中流传的圣鸟之舞，在傣家新一代中生根发芽。,1,2026/6/7 17:02,2026/6/7 17:34,1,1
35,吴大山,35,39,吴大山，湖南怀化傩面雕刻匠人，从业 39 年，专攻桃木傩神面具手工雕刻。他选用老桃木，依木料纹理与形状因材施艺，以圆雕、浮雕结合的方式刻出傩公、傩母、开山、二郎神等形象，面具或狰狞、或威严、或滑稽，须发皆动，眼神慑人。吴大山是湘西数个傩戏班社的专属匠人，班社需要演哪出傩戏、请哪位傩神，他便刻相应的面具。几十年间，他刻出的上千面傩具成为傩戏演出的灵魂所在。桃木上的每一道刀痕，都是一场庄严傩仪的起始。,1,2026/6/7 17:02,2026/6/7 17:34,1,1
36,巴图,36,44,巴图，新疆巴音郭楞江格尔史诗说唱艺人，从业 44 年，是蒙古族英雄史诗《江格尔》的活态传承者。他以蒙古语说唱，配合马头琴或陶布秀尔自弹自唱，嗓音苍凉浑厚，一口气能唱数小时，完整讲述江格尔汗率领十二勇士保卫宝木巴家园的传奇。巴图不仅唱功了得，还能根据现场观众情绪即兴加入评讲与互动。作为蒙古族非遗推广者，他走进学校、社区与旅游景区，将这部蒙古族英雄史诗从草原毡房唱到了更广阔的舞台。,1,2026/6/7 17:02,2026/6/7 17:34,1,1
37,阿依古丽,37,41,阿依古丽，新疆克孜勒苏玛纳斯史诗传承人，柯尔克孜族本土史诗传唱人，从业 41 年。《玛纳斯》是柯尔克孜族英雄史诗，全诗八部、二十余万行，阿依古丽能完整演唱其中前四部，并熟记数十种传统唱腔曲调。她的演唱以库姆孜琴伴奏，声音高亢悠远，时而如战马嘶鸣、时而如毡房低语。她坚持用母语传唱，每年在克孜勒苏山区举行多场小型演唱会，听众从白发老人到稚龄儿童不等。阿依古丽以一首史诗，撑起了一个民族的历史记忆与精神脊梁。,1,2026/6/7 17:02,2026/6/7 17:34,1,1
38,闫卫国,38,46,闫卫国，北京景泰蓝掐丝匠人，宫廷珐琅工艺继承者，从业 46 年。他精通 “铜胎掐丝珐琅” 全流程：先用扁铜丝依图样弯折、焊接于铜胎，再点填各色釉料，经多次高温烧制、打磨镀金。闫卫国曾受国家博物馆委托，为馆内小型景泰蓝藏品进行复刻，从分析老器物的铜丝粗细、釉色层数到反复试烧，最终使复刻品与原器质感无二。他以极度严苛的工艺标准，延续着六百年前宫廷造办处的珐琅血脉。,1,2026/6/7 17:02,2026/6/7 17:34,1,1
39,周竹青,39,30,周竹青，四川青神竹编传承人，从业 30 年，擅长将慈竹破成细如发丝的竹丝，再以挑、压、破、拼等技法编织出茶具、书画、灯具等精致器物。他突破了竹编多为篮筐容器的传统印象，研发出竹编茶具系列 —— 茶杯、茶壶、茶托全由竹丝编成，外覆天然生漆，既防水又通透。该系列获得多项非遗创新奖项，成为青神竹编的代表性产品。周竹青坚信，竹编不该只活在老手艺人的回忆里，而应成为现代人茶席上值得把玩的美器。,1,2026/6/7 17:02,2026/6/7 17:34,1,1
40,沈笔农,40,43,沈笔农，浙江湖州湖笔择毫匠人，国家级制笔非遗传承人，从业 43 年，是古法制笔的坚守人。他精通 “水盆” 工序，在水碗中将羊毛、黄鼠狼毛逐根筛选、搭配，按锋颖长短、粗细分区排列，再经齐毫、压毫、圆笔、修笔等上百道小工序，最终制成 “尖、齐、圆、健” 四德兼备的湖笔。沈笔农从不图快，做一支高档狼毫小楷笔，光择毛就要三天。他的笔被书画家誉为 “掌中乾坤”，一支好笔蘸墨下笔时锋颖听话、腰力遒劲，背后是他四十三年不变的择毫功夫。,1,2026/6/7 17:02,2026/6/7 17:34,1,1
41,曹顺安,41,47,曹顺安，安徽泾县宣纸抄纸匠人，从业 47 年，是国内少数能独立完成山泉浸泡、石灰腌沤、日光漂白、碓皮捣浆、竹帘抄纸、火墙烘干全流程的手工人。他坚守的 “古法山泉造纸”，以青檀皮为主料、沙田稻草为辅料，配以当地山泉活水，所制宣纸绵韧不脆、润墨均匀。曹顺安可以凭手感判断纸浆浓度与帘纹厚薄，在火光映照下看一眼湿纸即知是否合格。他的一双手，抄出了中国书画千年不腐的底色。,1,2026/6/7 17:02,2026/6/7 17:34,1,1
42,刘长顺,42,39,刘长顺，山东济南山东梆子老艺人，从业 39 年，六十余年浸淫梆子腔，工老生，唱腔高亢激越、板式分明。作为民间剧团团长，他带领着十几位平均年龄超过六十岁的老演员，每年在鲁西各村镇巡演上百场，剧目以《两狼山》《墙头记》等传统戏为主。没有政府拨款，没有固定剧场，刘长顺就靠村委会请戏、红白喜事包场维持剧团运转。他本人嗓子不如年轻时，但一句 “金牌调来银牌宣” 依然是满宫满调，台下白发观众听得热泪盈眶。,1,2026/6/7 17:02,2026/6/7 17:34,1,1
43,马喜成,43,45,马喜成，西安秦腔脸谱手绘大师，秦腔老生演员，从业 45 年。他在台上能唱《斩单童》《金沙滩》等硬扎唱工戏，在台下则以手绘脸谱闻名。马喜成绘脸谱严格遵循秦腔 “红忠、白奸、黑耿直、蓝勇猛、绿草莽” 的色彩谱式，用毛笔在石膏面具或蛋壳上一笔笔勾画，线条粗犷豪放，与京剧脸谱的工整形成鲜明对比。作为西北戏曲非遗讲师，他走进高校与中小学，向年轻人讲解秦腔脸谱背后的性格密码，让这门粗犷豪放的西部脸谱艺术被更多人看懂。,1,2026/6/7 17:02,2026/6/7 17:34,1,1
44,陈桂英,44,40,陈桂英，安徽安庆黄梅戏传承人，从业 40 年，以《天仙配》中七仙女一角成名，唱腔甜润婉转、身段优美，是安庆黄梅戏舞台的代表性旦角。为让黄梅戏后继有人，她自筹资金创办安庆黄梅戏学堂，亲自教授唱腔发声、念白韵味、水袖身段、扇子功等基础课程。学堂面向全社会招生，不论年龄、不设门槛，只要热爱即可报名。陈桂英不仅教戏，更教做人，常对学生说 “戏比天大，德为先”。她正以一所学堂，为黄梅戏续上薪火。,1,2026/6/7 17:02,2026/6/7 17:34,1,1
45,林水生,45,36,林水生，广东东莞龙舟木作匠人，从业 36 年，专攻整木打造传统竞赛龙舟。他选用进口坤甸木或本地杉木，以一根整料做龙骨，再拼接肋骨、坐板、花旁等部件，船身狭长如叶、两头翘起，无需铁钉，全靠榫卯与藤扎固定。林水生出品的龙舟轻便结实、划水阻力小，是珠三角端午龙舟赛的御用之舟。每年端午节前，数十条龙舟从他工棚下水，上百名桡手喊着号子将新龙舟抬到河涌。林水生不善言辞，但东莞人都知道：要夺标，找水生。,1,2026/6/7 17:02,2026/6/7 17:34,1,1
46,苏桂珍,46,31,苏桂珍，苏州苏式月饼古法面点师，酥皮月饼非遗传承人，从业 31 年。她制作苏式月饼严守古法：水油皮包油酥心，反复折叠擀卷，形成数十层面皮薄如蝉翼，烘烤后一碰即落、入口即化。馅料讲究时令，鲜肉月饼现烤现吃，清水玫瑰、百果、椒盐等传统馅料则按祖辈传下的配比调制。苏桂珍担任江南多家老字号糕点顾问，每年中秋前两个月便住进工坊，手把手教年轻面点师揉面、开酥、包馅。她以一身酥香，守住了江南中秋节最地道的味觉记忆。,1,2026/6/7 17:02,2026/6/7 17:34,1,1
47,郑春兰,47,32,郑春兰，杭州清明青团古法制作人，从业 32 年，对艾草原料产地把控极为严格。她坚持每年清明前亲自上山采摘野生嫩艾草，只取顶端三寸，焯水去涩后舂捣成泥，与糯米粉反复揉匀成翠绿面团，再包入细豆沙或咸菜笋丁，最后垫上箬叶上笼蒸熟。郑春兰不添加任何色素与防腐剂，青团的绿来自艾草，香来自箬叶。她的青团只在清明前后制作，过期不候，成为江南时令民俗点心的代表，每年都有老客提前数月预订，只为这一口地道的春之味。,1,2026/6/7 17:02,2026/6/7 17:34,1,1
48,蓝秀凤,48,34,蓝秀凤，福建宁德畲族痧症医药传承人，从业 34 年，是山区远近闻名的畲医。她掌握数十种畲族特色药方，尤其擅长以刮痧、放血、草药内服外敷治疗中暑、急痧、蛇虫咬伤等山区常见急症。蓝秀凤传承古训 “医者不问贫富”，常年骑摩托车翻山越岭，免费为偏远村寨的老人与留守儿童看病送药，从不收诊费。她的药多是自采自制的干草药，成本不高但疗效确凿。畲药没有文字记载，全凭口传心授，蓝秀凤正以行医即传习的方式，让畲族医药活在人迹罕至的深山。,1,2026/6/7 17:02,2026/6/7 17:34,1,1
